country_code,country_name,date,topic_group,avg_interest,n_rows
AU,Australia,2025-04-06,bdsm_general,87,1
AU,Australia,2025-04-06,spanking,76,1
AU,Australia,2025-04-06,otk,17,1
AU,Australia,2025-04-06,impact_play,11,1
AU,Australia,2025-04-06,domestic_discipline,0,1
AU,Australia,2025-04-13,bdsm_general,90,1
AU,Australia,2025-04-13,spanking,71,1
AU,Australia,2025-04-13,otk,25,1
AU,Australia,2025-04-13,impact_play,7,1
AU,Australia,2025-04-13,domestic_discipline,0,1
AU,Australia,2025-04-20,domestic_discipline,100,1
AU,Australia,2025-04-20,bdsm_general,88,1
AU,Australia,2025-04-20,spanking,83,1
AU,Australia,2025-04-20,otk,30,1
AU,Australia,2025-04-20,impact_play,7,1
AU,Australia,2025-04-27,bdsm_general,84,1
AU,Australia,2025-04-27,spanking,72,1
AU,Australia,2025-04-27,otk,17,1
AU,Australia,2025-04-27,impact_play,13,1
AU,Australia,2025-04-27,domestic_discipline,0,1
AU,Australia,2025-05-04,bdsm_general,82,1
AU,Australia,2025-05-04,spanking,74,1
AU,Australia,2025-05-04,impact_play,19,1
AU,Australia,2025-05-04,otk,14,1
AU,Australia,2025-05-04,domestic_discipline,0,1
AU,Australia,2025-05-11,spanking,94,1
AU,Australia,2025-05-11,bdsm_general,84,1
AU,Australia,2025-05-11,impact_play,21,1
AU,Australia,2025-05-11,otk,12,1
AU,Australia,2025-05-11,domestic_discipline,0,1
AU,Australia,2025-05-18,spanking,90,1
AU,Australia,2025-05-18,bdsm_general,85,1
AU,Australia,2025-05-18,impact_play,22,1
AU,Australia,2025-05-18,otk,13,1
AU,Australia,2025-05-18,domestic_discipline,0,1
AU,Australia,2025-05-25,bdsm_general,80,1
AU,Australia,2025-05-25,spanking,62,1
AU,Australia,2025-05-25,otk,23,1
AU,Australia,2025-05-25,impact_play,22,1
AU,Australia,2025-05-25,domestic_discipline,0,1
AU,Australia,2025-06-01,bdsm_general,82,1
AU,Australia,2025-06-01,spanking,75,1
AU,Australia,2025-06-01,otk,32,1
AU,Australia,2025-06-01,impact_play,26,1
AU,Australia,2025-06-01,domestic_discipline,0,1
AU,Australia,2025-06-08,bdsm_general,91,1
AU,Australia,2025-06-08,spanking,80,1
AU,Australia,2025-06-08,impact_play,23,1
AU,Australia,2025-06-08,otk,20,1
AU,Australia,2025-06-08,domestic_discipline,0,1
AU,Australia,2025-06-15,bdsm_general,77,1
AU,Australia,2025-06-15,spanking,62,1
AU,Australia,2025-06-15,otk,20,1
AU,Australia,2025-06-15,impact_play,14,1
AU,Australia,2025-06-15,domestic_discipline,0,1
AU,Australia,2025-06-22,spanking,94,1
AU,Australia,2025-06-22,bdsm_general,90,1
AU,Australia,2025-06-22,otk,30,1
AU,Australia,2025-06-22,impact_play,14,1
AU,Australia,2025-06-22,domestic_discipline,0,1
AU,Australia,2025-06-29,spanking,97,1
AU,Australia,2025-06-29,bdsm_general,87,1
AU,Australia,2025-06-29,otk,28,1
AU,Australia,2025-06-29,impact_play,10,1
AU,Australia,2025-06-29,domestic_discipline,0,1
AU,Australia,2025-07-06,bdsm_general,86,1
AU,Australia,2025-07-06,spanking,63,1
AU,Australia,2025-07-06,otk,26,1
AU,Australia,2025-07-06,impact_play,9,1
AU,Australia,2025-07-06,domestic_discipline,0,1
AU,Australia,2025-07-13,bdsm_general,78,1
AU,Australia,2025-07-13,spanking,72,1
AU,Australia,2025-07-13,otk,18,1
AU,Australia,2025-07-13,impact_play,8,1
AU,Australia,2025-07-13,domestic_discipline,0,1
AU,Australia,2025-07-20,bdsm_general,84,1
AU,Australia,2025-07-20,spanking,67,1
AU,Australia,2025-07-20,otk,25,1
AU,Australia,2025-07-20,impact_play,15,1
AU,Australia,2025-07-20,domestic_discipline,0,1
AU,Australia,2025-07-27,bdsm_general,79,1
AU,Australia,2025-07-27,spanking,63,1
AU,Australia,2025-07-27,otk,30,1
AU,Australia,2025-07-27,impact_play,18,1
AU,Australia,2025-07-27,domestic_discipline,0,1
AU,Australia,2025-08-03,spanking,77,1
AU,Australia,2025-08-03,bdsm_general,76,1
AU,Australia,2025-08-03,impact_play,16,1
AU,Australia,2025-08-03,otk,12,1
AU,Australia,2025-08-03,domestic_discipline,0,1
AU,Australia,2025-08-10,bdsm_general,81,1
AU,Australia,2025-08-10,spanking,66,1
AU,Australia,2025-08-10,impact_play,15,1
AU,Australia,2025-08-10,otk,13,1
AU,Australia,2025-08-10,domestic_discipline,0,1
AU,Australia,2025-08-17,bdsm_general,77,1
AU,Australia,2025-08-17,spanking,65,1
AU,Australia,2025-08-17,otk,21,1
AU,Australia,2025-08-17,impact_play,16,1
AU,Australia,2025-08-17,domestic_discipline,0,1
AU,Australia,2025-08-24,bdsm_general,82,1
AU,Australia,2025-08-24,spanking,75,1
AU,Australia,2025-08-24,otk,30,1
AU,Australia,2025-08-24,impact_play,17,1
AU,Australia,2025-08-24,domestic_discipline,0,1
AU,Australia,2025-08-31,spanking,80,1
AU,Australia,2025-08-31,bdsm_general,75,1
AU,Australia,2025-08-31,otk,25,1
AU,Australia,2025-08-31,impact_play,11,1
AU,Australia,2025-08-31,domestic_discipline,0,1
AU,Australia,2025-09-07,bdsm_general,86,1
AU,Australia,2025-09-07,spanking,62,1
AU,Australia,2025-09-07,impact_play,16,1
AU,Australia,2025-09-07,domestic_discipline,0,1
AU,Australia,2025-09-07,otk,0,1
AU,Australia,2025-09-14,bdsm_general,82,1
AU,Australia,2025-09-14,spanking,76,1
AU,Australia,2025-09-14,otk,13,1
AU,Australia,2025-09-14,impact_play,12,1
AU,Australia,2025-09-14,domestic_discipline,0,1
AU,Australia,2025-09-21,bdsm_general,76,1
AU,Australia,2025-09-21,spanking,70,1
AU,Australia,2025-09-21,otk,31,1
AU,Australia,2025-09-21,impact_play,14,1
AU,Australia,2025-09-21,domestic_discipline,0,1
AU,Australia,2025-09-28,bdsm_general,87,1
AU,Australia,2025-09-28,spanking,81,1
AU,Australia,2025-09-28,otk,22,1
AU,Australia,2025-09-28,impact_play,12,1
AU,Australia,2025-09-28,domestic_discipline,0,1
AU,Australia,2025-10-05,spanking,84,1
AU,Australia,2025-10-05,bdsm_general,82,1
AU,Australia,2025-10-05,otk,21,1
AU,Australia,2025-10-05,impact_play,10,1
AU,Australia,2025-10-05,domestic_discipline,0,1
AU,Australia,2025-10-12,bdsm_general,78,1
AU,Australia,2025-10-12,spanking,78,1
AU,Australia,2025-10-12,otk,33,1
AU,Australia,2025-10-12,impact_play,15,1
AU,Australia,2025-10-12,domestic_discipline,0,1
AU,Australia,2025-10-19,bdsm_general,83,1
AU,Australia,2025-10-19,spanking,76,1
AU,Australia,2025-10-19,otk,33,1
AU,Australia,2025-10-19,impact_play,13,1
AU,Australia,2025-10-19,domestic_discipline,0,1
AU,Australia,2025-10-26,otk,100,1
AU,Australia,2025-10-26,spanking,89,1
AU,Australia,2025-10-26,bdsm_general,81,1
AU,Australia,2025-10-26,impact_play,16,1
AU,Australia,2025-10-26,domestic_discipline,0,1
AU,Australia,2025-11-02,spanking,95,1
AU,Australia,2025-11-02,bdsm_general,80,1
AU,Australia,2025-11-02,otk,31,1
AU,Australia,2025-11-02,impact_play,22,1
AU,Australia,2025-11-02,domestic_discipline,0,1
AU,Australia,2025-11-09,bdsm_general,75,1
AU,Australia,2025-11-09,spanking,74,1
AU,Australia,2025-11-09,otk,33,1
AU,Australia,2025-11-09,impact_play,16,1
AU,Australia,2025-11-09,domestic_discipline,0,1
AU,Australia,2025-11-16,bdsm_general,76,1
AU,Australia,2025-11-16,spanking,68,1
AU,Australia,2025-11-16,impact_play,22,1
AU,Australia,2025-11-16,otk,16,1
AU,Australia,2025-11-16,domestic_discipline,0,1
AU,Australia,2025-11-23,bdsm_general,83,1
AU,Australia,2025-11-23,spanking,81,1
AU,Australia,2025-11-23,impact_play,21,1
AU,Australia,2025-11-23,otk,14,1
AU,Australia,2025-11-23,domestic_discipline,0,1
AU,Australia,2025-11-30,bdsm_general,80,1
AU,Australia,2025-11-30,spanking,69,1
AU,Australia,2025-11-30,impact_play,22,1
AU,Australia,2025-11-30,otk,18,1
AU,Australia,2025-11-30,domestic_discipline,0,1
AU,Australia,2025-12-07,spanking,81,1
AU,Australia,2025-12-07,bdsm_general,80,1
AU,Australia,2025-12-07,impact_play,24,1
AU,Australia,2025-12-07,otk,17,1
AU,Australia,2025-12-07,domestic_discipline,0,1
AU,Australia,2025-12-14,bdsm_general,83,1
AU,Australia,2025-12-14,spanking,71,1
AU,Australia,2025-12-14,impact_play,16,1
AU,Australia,2025-12-14,otk,15,1
AU,Australia,2025-12-14,domestic_discipline,0,1
AU,Australia,2025-12-21,spanking,93,1
AU,Australia,2025-12-21,bdsm_general,88,1
AU,Australia,2025-12-21,impact_play,21,1
AU,Australia,2025-12-21,otk,16,1
AU,Australia,2025-12-21,domestic_discipline,0,1
AU,Australia,2025-12-28,bdsm_general,100,1
AU,Australia,2025-12-28,spanking,97,1
AU,Australia,2025-12-28,otk,31,1
AU,Australia,2025-12-28,impact_play,18,1
AU,Australia,2025-12-28,domestic_discipline,0,1
AU,Australia,2026-01-04,spanking,100,1
AU,Australia,2026-01-04,bdsm_general,81,1
AU,Australia,2026-01-04,otk,22,1
AU,Australia,2026-01-04,impact_play,17,1
AU,Australia,2026-01-04,domestic_discipline,0,1
AU,Australia,2026-01-11,bdsm_general,90,1
AU,Australia,2026-01-11,spanking,78,1
AU,Australia,2026-01-11,otk,27,1
AU,Australia,2026-01-11,impact_play,17,1
AU,Australia,2026-01-11,domestic_discipline,0,1
AU,Australia,2026-01-18,spanking,83,1
AU,Australia,2026-01-18,bdsm_general,80,1
AU,Australia,2026-01-18,otk,30,1
AU,Australia,2026-01-18,impact_play,17,1
AU,Australia,2026-01-18,domestic_discipline,0,1
AU,Australia,2026-01-25,spanking,85,1
AU,Australia,2026-01-25,bdsm_general,82,1
AU,Australia,2026-01-25,otk,25,1
AU,Australia,2026-01-25,impact_play,24,1
AU,Australia,2026-01-25,domestic_discipline,0,1
AU,Australia,2026-02-01,impact_play,100,1
AU,Australia,2026-02-01,bdsm_general,78,1
AU,Australia,2026-02-01,spanking,74,1
AU,Australia,2026-02-01,otk,20,1
AU,Australia,2026-02-01,domestic_discipline,0,1
AU,Australia,2026-02-08,bdsm_general,83,1
AU,Australia,2026-02-08,spanking,67,1
AU,Australia,2026-02-08,impact_play,66,1
AU,Australia,2026-02-08,otk,11,1
AU,Australia,2026-02-08,domestic_discipline,0,1
AU,Australia,2026-02-15,impact_play,85,1
AU,Australia,2026-02-15,bdsm_general,82,1
AU,Australia,2026-02-15,spanking,81,1
AU,Australia,2026-02-15,otk,19,1
AU,Australia,2026-02-15,domestic_discipline,0,1
AU,Australia,2026-02-22,bdsm_general,86,1
AU,Australia,2026-02-22,spanking,86,1
AU,Australia,2026-02-22,impact_play,48,1
AU,Australia,2026-02-22,otk,15,1
AU,Australia,2026-02-22,domestic_discipline,0,1
AU,Australia,2026-03-01,spanking,85,1
AU,Australia,2026-03-01,bdsm_general,78,1
AU,Australia,2026-03-01,otk,26,1
AU,Australia,2026-03-01,impact_play,23,1
AU,Australia,2026-03-01,domestic_discipline,0,1
AU,Australia,2026-03-08,bdsm_general,81,1
AU,Australia,2026-03-08,spanking,68,1
AU,Australia,2026-03-08,impact_play,28,1
AU,Australia,2026-03-08,otk,11,1
AU,Australia,2026-03-08,domestic_discipline,0,1
AU,Australia,2026-03-15,bdsm_general,74,1
AU,Australia,2026-03-15,spanking,69,1
AU,Australia,2026-03-15,impact_play,27,1
AU,Australia,2026-03-15,otk,16,1
AU,Australia,2026-03-15,domestic_discipline,0,1
AU,Australia,2026-03-22,bdsm_general,80,1
AU,Australia,2026-03-22,spanking,72,1
AU,Australia,2026-03-22,impact_play,27,1
AU,Australia,2026-03-22,otk,22,1
AU,Australia,2026-03-22,domestic_discipline,0,1
AU,Australia,2026-03-29,bdsm_general,76,1
AU,Australia,2026-03-29,spanking,71,1
AU,Australia,2026-03-29,otk,15,1
AU,Australia,2026-03-29,impact_play,14,1
AU,Australia,2026-03-29,domestic_discipline,9,1
AU,Australia,2026-04-05,bdsm_general,81,1
AU,Australia,2026-04-05,spanking,77,1
AU,Australia,2026-04-05,otk,16,1
AU,Australia,2026-04-05,impact_play,11,1
AU,Australia,2026-04-05,domestic_discipline,8,1
GB,United Kingdom,2025-04-06,bdsm_general,85,1
GB,United Kingdom,2025-04-06,otk,33,1
GB,United Kingdom,2025-04-06,spanking,28.666666666666668,3
GB,United Kingdom,2025-04-06,impact_play,2,1
GB,United Kingdom,2025-04-06,adult_corporal_punishment,0,1
GB,United Kingdom,2025-04-06,domestic_discipline,0,1
GB,United Kingdom,2025-04-13,bdsm_general,90,1
GB,United Kingdom,2025-04-13,spanking,33.333333333333336,3
GB,United Kingdom,2025-04-13,otk,32,1
GB,United Kingdom,2025-04-13,impact_play,2,1
GB,United Kingdom,2025-04-13,adult_corporal_punishment,0,1
GB,United Kingdom,2025-04-13,domestic_discipline,0,1
GB,United Kingdom,2025-04-20,bdsm_general,95,1
GB,United Kingdom,2025-04-20,otk,42,1
GB,United Kingdom,2025-04-20,spanking,30,3
GB,United Kingdom,2025-04-20,impact_play,2,1
GB,United Kingdom,2025-04-20,adult_corporal_punishment,0,1
GB,United Kingdom,2025-04-20,domestic_discipline,0,1
GB,United Kingdom,2025-04-27,bdsm_general,85,1
GB,United Kingdom,2025-04-27,otk,36,1
GB,United Kingdom,2025-04-27,spanking,32.333333333333336,3
GB,United Kingdom,2025-04-27,impact_play,2,1
GB,United Kingdom,2025-04-27,adult_corporal_punishment,0,1
GB,United Kingdom,2025-04-27,domestic_discipline,0,1
GB,United Kingdom,2025-05-04,bdsm_general,91,1
GB,United Kingdom,2025-05-04,otk,39,1
GB,United Kingdom,2025-05-04,spanking,29.333333333333332,3
GB,United Kingdom,2025-05-04,impact_play,2,1
GB,United Kingdom,2025-05-04,adult_corporal_punishment,0,1
GB,United Kingdom,2025-05-04,domestic_discipline,0,1
GB,United Kingdom,2025-05-11,bdsm_general,89,1
GB,United Kingdom,2025-05-11,spanking,31.333333333333332,3
GB,United Kingdom,2025-05-11,otk,26,1
GB,United Kingdom,2025-05-11,impact_play,2,1
GB,United Kingdom,2025-05-11,adult_corporal_punishment,0,1
GB,United Kingdom,2025-05-11,domestic_discipline,0,1
GB,United Kingdom,2025-05-18,bdsm_general,89,1
GB,United Kingdom,2025-05-18,otk,37,1
GB,United Kingdom,2025-05-18,spanking,30.666666666666668,3
GB,United Kingdom,2025-05-18,impact_play,1,1
GB,United Kingdom,2025-05-18,adult_corporal_punishment,0,1
GB,United Kingdom,2025-05-18,domestic_discipline,0,1
GB,United Kingdom,2025-05-25,bdsm_general,97,1
GB,United Kingdom,2025-05-25,spanking,64.66666666666667,3
GB,United Kingdom,2025-05-25,otk,41,1
GB,United Kingdom,2025-05-25,impact_play,1,1
GB,United Kingdom,2025-05-25,adult_corporal_punishment,0,1
GB,United Kingdom,2025-05-25,domestic_discipline,0,1
GB,United Kingdom,2025-06-01,bdsm_general,90,1
GB,United Kingdom,2025-06-01,otk,33,1
GB,United Kingdom,2025-06-01,spanking,30.333333333333332,3
GB,United Kingdom,2025-06-01,impact_play,2,1
GB,United Kingdom,2025-06-01,adult_corporal_punishment,0,1
GB,United Kingdom,2025-06-01,domestic_discipline,0,1
GB,United Kingdom,2025-06-08,bdsm_general,87,1
GB,United Kingdom,2025-06-08,otk,39,1
GB,United Kingdom,2025-06-08,spanking,28,3
GB,United Kingdom,2025-06-08,impact_play,3,1
GB,United Kingdom,2025-06-08,adult_corporal_punishment,0,1
GB,United Kingdom,2025-06-08,domestic_discipline,0,1
GB,United Kingdom,2025-06-15,bdsm_general,90,1
GB,United Kingdom,2025-06-15,otk,37,1
GB,United Kingdom,2025-06-15,spanking,30.333333333333332,3
GB,United Kingdom,2025-06-15,impact_play,2,1
GB,United Kingdom,2025-06-15,adult_corporal_punishment,0,1
GB,United Kingdom,2025-06-15,domestic_discipline,0,1
GB,United Kingdom,2025-06-22,bdsm_general,100,1
GB,United Kingdom,2025-06-22,otk,35,1
GB,United Kingdom,2025-06-22,spanking,29.333333333333332,3
GB,United Kingdom,2025-06-22,impact_play,2,1
GB,United Kingdom,2025-06-22,adult_corporal_punishment,0,1
GB,United Kingdom,2025-06-22,domestic_discipline,0,1
GB,United Kingdom,2025-06-29,bdsm_general,96,1
GB,United Kingdom,2025-06-29,otk,36,1
GB,United Kingdom,2025-06-29,spanking,31.333333333333332,3
GB,United Kingdom,2025-06-29,impact_play,2,1
GB,United Kingdom,2025-06-29,adult_corporal_punishment,0,1
GB,United Kingdom,2025-06-29,domestic_discipline,0,1
GB,United Kingdom,2025-07-06,bdsm_general,90,1
GB,United Kingdom,2025-07-06,otk,33,1
GB,United Kingdom,2025-07-06,spanking,30,3
GB,United Kingdom,2025-07-06,impact_play,2,1
GB,United Kingdom,2025-07-06,adult_corporal_punishment,0,1
GB,United Kingdom,2025-07-06,domestic_discipline,0,1
GB,United Kingdom,2025-07-13,bdsm_general,93,1
GB,United Kingdom,2025-07-13,otk,36,1
GB,United Kingdom,2025-07-13,spanking,31.666666666666668,3
GB,United Kingdom,2025-07-13,impact_play,2,1
GB,United Kingdom,2025-07-13,adult_corporal_punishment,0,1
GB,United Kingdom,2025-07-13,domestic_discipline,0,1
GB,United Kingdom,2025-07-20,bdsm_general,93,1
GB,United Kingdom,2025-07-20,otk,47,1
GB,United Kingdom,2025-07-20,spanking,29.333333333333332,3
GB,United Kingdom,2025-07-20,impact_play,2,1
GB,United Kingdom,2025-07-20,adult_corporal_punishment,0,1
GB,United Kingdom,2025-07-20,domestic_discipline,0,1
GB,United Kingdom,2025-07-27,bdsm_general,84,1
GB,United Kingdom,2025-07-27,otk,44,1
GB,United Kingdom,2025-07-27,spanking,30.333333333333332,3
GB,United Kingdom,2025-07-27,impact_play,1,1
GB,United Kingdom,2025-07-27,adult_corporal_punishment,0,1
GB,United Kingdom,2025-07-27,domestic_discipline,0,1
GB,United Kingdom,2025-08-03,bdsm_general,81,1
GB,United Kingdom,2025-08-03,otk,34,1
GB,United Kingdom,2025-08-03,spanking,32,3
GB,United Kingdom,2025-08-03,impact_play,2,1
GB,United Kingdom,2025-08-03,adult_corporal_punishment,0,1
GB,United Kingdom,2025-08-03,domestic_discipline,0,1
GB,United Kingdom,2025-08-10,bdsm_general,81,1
GB,United Kingdom,2025-08-10,spanking,28.666666666666668,3
GB,United Kingdom,2025-08-10,otk,21,1
GB,United Kingdom,2025-08-10,impact_play,2,1
GB,United Kingdom,2025-08-10,adult_corporal_punishment,0,1
GB,United Kingdom,2025-08-10,domestic_discipline,0,1
GB,United Kingdom,2025-08-17,bdsm_general,81,1
GB,United Kingdom,2025-08-17,otk,35,1
GB,United Kingdom,2025-08-17,spanking,29,3
GB,United Kingdom,2025-08-17,impact_play,1,1
GB,United Kingdom,2025-08-17,adult_corporal_punishment,0,1
GB,United Kingdom,2025-08-17,domestic_discipline,0,1
GB,United Kingdom,2025-08-24,bdsm_general,77,1
GB,United Kingdom,2025-08-24,otk,36,1
GB,United Kingdom,2025-08-24,spanking,29.666666666666668,3
GB,United Kingdom,2025-08-24,impact_play,1,1
GB,United Kingdom,2025-08-24,adult_corporal_punishment,0,1
GB,United Kingdom,2025-08-24,domestic_discipline,0,1
GB,United Kingdom,2025-08-31,bdsm_general,85,1
GB,United Kingdom,2025-08-31,otk,29,1
GB,United Kingdom,2025-08-31,spanking,28.333333333333332,3
GB,United Kingdom,2025-08-31,impact_play,1,1
GB,United Kingdom,2025-08-31,adult_corporal_punishment,0,1
GB,United Kingdom,2025-08-31,domestic_discipline,0,1
GB,United Kingdom,2025-09-07,bdsm_general,69,1
GB,United Kingdom,2025-09-07,spanking,26.666666666666668,3
GB,United Kingdom,2025-09-07,otk,23,1
GB,United Kingdom,2025-09-07,impact_play,1,1
GB,United Kingdom,2025-09-07,adult_corporal_punishment,0,1
GB,United Kingdom,2025-09-07,domestic_discipline,0,1
GB,United Kingdom,2025-09-14,adult_corporal_punishment,100,1
GB,United Kingdom,2025-09-14,bdsm_general,73,1
GB,United Kingdom,2025-09-14,spanking,26,3
GB,United Kingdom,2025-09-14,otk,25,1
